rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	deep_batch
15	US-SAM:57783181490543c2a97d9cd1518f7925	DA01--Software maintenance and support services for existing MyPath tools in support of VA Puget Sound Healthcare System, Seattle, WA	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-27T19:00:00+00:00			GOOD	software-development,software-maintenance	RAM EDWOSB 8(A) NAICS: SIZE STANDARD: 11. DELIVERY FOR FOB DESTINA- TION UNLESS BLOCK IS MARKED SEE SCHEDULE 12. DISCOUNT TERMS 13a. THIS CO	batch-001.json
16	US-SAM:7361373b14f2436c9502fe899e9ad9bb	Khufu - Hybrid Capture Genotyping Service	AGRICULTURE, DEPARTMENT OF	2026-08-21T19:00:00+00:00			GOOD	e-learning	===== FILE: files/ATTACHMENT_1_SOW_1232SA26Q1231.pdf ===== Statement of Work (SOW) USDA / Twist Bioscience / HudsonAlpha Sorghum Genomics Pr	batch-001.json
17	US-SAM:f7294e1580cb49f699ffea7261e93d4b	SV26.2 Air Conditioner Rental	DEPT OF DEFENSE	2026-08-19T21:00:00+00:00			GOOD	it-training,lms	ting your offer Company Name: Unique Entity Identifier: ______________________ FAR 52.212-1, Instructions to Offerors—Commercial Products an	batch-001.json
18	TED:569364-2026	Ireland – Computer support and consultancy services – Merchant Quay Ireland- Request for Tenders for The Provision of Unit4 ERP Implementation, Hypercare And Application Support Services.	Merchants Quay Ireland CLG	2026-08-21T12:00:00+01:00	200000.0	EUR	GOOD	application-support	and ("MQI") invites tenders ("Tenders") in response to this Request for Tenders ("RFT") from economic operators ("Tenderers") for the provis	batch-001.json
19	US-SAM:ac66c360b1d44c1faa5dc428f78de8f6	Roof Repairs - National Center for Cool and the Cold-Water Aquaculture (NCCCWA)	AGRICULTURE, DEPARTMENT OF	2026-08-19T16:00:00+00:00			GOOD	it-training	===== FILE: files/ATTACHMENT_1_-_STATEMENT_OF_WORK.pdf ===== ROOF REPAIRS National Center for Cool and Cold-Water Aquaculture (NCCCWA) 11861	batch-001.json
20	ZA_ETENDERS_OCDS:ocds-9t57fa-165682-2026-08-14	KZN/PRASA/2026/08/06/Q	Passenger Rail Agency of South Africa	2026-08-27T12:00:00+00:00		ZAR	MAYBE	it-training	===== FILE: files/MAster RFQ For ISO 9001 INTERNAL AUDIT TRAINING.pdf ===== RFQ NUMBER: KZN/PRASA/2026/08/06/Q REQUEST FOR QUOTATION (RFQ): 	batch-001.json
21	US-SAM:3f7fef3cc8a0419e96d234b9eac368d4	Predictive Lake Analytics Nextgen eXchange Services (PLANXS)	HOMELAND SECURITY, DEPARTMENT OF	2026-09-16T00:00:00+00:00			MAYBE	e-learning,digital-services	er future orders. 1 In this document, citations to, RFO Part 16, RFO Part 10, RFO Part 11 and RFO Part 15 are citations specifically to Fede	batch-002.json
22	US-SAM:e2808a005aa340e2bbff9b670ea21fd5	R--Physical Security Services, Coos Bay District BLM,	INTERIOR, DEPARTMENT OF THE	2026-08-21T21:00:00+00:00			MAYBE	software-development	ITED STATES OF AMERICA (Signature of Contracting Officer) Previous edition unusable PAGESOF Contractor The hour and date specified for recei	batch-002.json
23	TED:570386-2026	France – Statutory audit services – Accord-cadre de prestations de co-commissariat aux comptes dans le cadre d'un mandat pour les exercices comptables 2027 à 2032 de France Travail	FRANCE TRAVAIL - DG	2026-10-09T00:00:00+02:00	7785375.0	EUR	MAYBE	it-services	hnique. Ce Cadre est exhaustif : toutes les fiches et rubriques doivent être renseignées par le candidat qui n’a pas à produire d’autres inf	batch-002.json
24	US-SAM:0cff72605f064bb485f3e62cb15ed239	ayData Software Services	DEPT OF DEFENSE	2026-08-19T18:00:00+00:00			MAYBE	software-services	DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-002.json
25	TED:570271-2026	Moldova – Education and training services – Provisions of Regional Consultants services under the Project Development and Management Team supporting the State Chancellery in the Public Admin	Solidarity Fund PL, Moldova Branch	2026-09-11T10:00:00+03:00			MAYBE	training-services	and Management Team supporting the Public Administration Reform process in the Republic of Moldova. II. Lots The procurement procedure is di	batch-002.json
26	US-SAM:1f2262deedef45e5a648720dabdb3c3b	ROUND BAR	DEPT OF DEFENSE	2026-08-19T18:00:00+00:00			MAYBE	training-course	DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-002.json
27	ZA_ETENDERS_OCDS:ocds-9t57fa-165372-2026-08-13	RFP-HO-06-2026	South African Human Rights Commission	2026-08-25T11:00:00+00:00		ZAR	MAYBE	public-relations	ies. • Develop Brand Strategy: Define the brand's purpose, positioning, personality, and core messaging. • C reate brand voice and messaging	batch-002.json
28	US-SAM:02c44e3a1e804ab295e23a1535c2d562	66--Brand Name or Equal: Echo 81 Ping DSP i3DSS Payloa	INTERIOR, DEPARTMENT OF THE	2026-08-31T18:00:00+00:00			MAYBE	software-development,it-services,training-services	RTANT: This is a request for information and quotations furnished are not offers. If you are unable to quote, please so indicate on this for	batch-002.json
29	US-SAM:56b9189307a44f209d41806d1d5b4013	Brand Name or Equal: Echo 81 Ping DSP i3DSS Payloa	INTERIOR, DEPARTMENT OF THE	2026-08-31T18:00:00+00:00			MAYBE	software-development,it-services,training-services	RTANT: This is a request for information and quotations furnished are not offers. If you are unable to quote, please so indicate on this for	batch-002.json
30	ZA_ETENDERS_OCDS:ocds-9t57fa-165405-2026-08-12	RFP OW-011/2026/27	Overberg Water	2026-09-04T12:00:00+00:00		ZAR	MAYBE	it-services	===== FILE: files/RFP 0W-011202627 Internal Audit.pdf ===== BID NUMBER – RFP 0W-011/2026/27 CLOSING DATE: 04th SEPTEMBER 2026 REQUEST FOR PR	batch-002.json
31	US-SAM:a54220add1ad4db185e19653241feea8	3D LiDAR AND SMARTPHONE-BASED PLATFORMS FOR MOTOR VEHICLE TRAFFIC DATA	TRANSPORTATION, DEPARTMENT OF	2026-08-19T15:00:00+00:00			MAYBE	communications	w r="6" spans="1:3" ht="31.5" x14ac:dyDescent="0.25"><c r="A6" s="12"><v>5</v></c><c r="B6" s="7" t="s"><v>8</v></c><c r="C6" s="8" t="s"><v	batch-003.json
32	US-SAM:acba7a65618c4aae82c156aa1c8e0f04	Conference Room DVLED Audio and Video System Upgrade	DEPT OF DEFENSE	2026-08-25T17:00:00+00:00			MAYBE	communications,training-course	===== FILE: files/Bill_of_Material_Redacted.pdf ===== Brand Name or Equal ===== FILE: files/Clauses.pdf ===== Page 1 of 23 DOCUMENT NUMBER F	batch-003.json
33	US-SAM:97ec79a9bab14694a4a7b090645c3885	Conference Room DVLED Audio and Video System Upgrade	DEPT OF DEFENSE	2026-08-25T17:00:00+00:00			MAYBE	communications,training-course	===== FILE: files/Bill_of_Material_Redacted.pdf ===== Brand Name or Equal ===== FILE: files/Clauses.pdf ===== Page 1 of 23 DOCUMENT NUMBER F	batch-003.json
34	US-SAM:31bd9407e6174aae97be4c0716eb1eed	Water Refill Stations (Guam)	DEPT OF DEFENSE	2026-08-20T01:00:00+00:00			MAYBE	communications,training-course	===== FILE: files/Attachment_1-_Statement_of_Work.pdf ===== STATEMENT OF WORK 644 Combat Communications Squadron (644 CBCS) Water Refill Sta	batch-003.json
35	UK_PCS_OCDS:rls-14-AUG561570	Provision of 2026 Refit Services MV Thorsvoe	Orkney Islands Council	2026-09-04T12:00:00+00:00	170000.0	GBP	MAYBE	it-services	you require any additional documents? Notice Details Introduction Full Notice Text Further Info Contact Info Coding Title: Provision of 2026	batch-003.json
36	TED:569744-2026	Croatia – Telecommunications services – ELEKTRONIČKE KOMUNIKACIJSKE USLUGE U POKRETNOJ MREŽI	GRAD ZAGREB	2026-08-31T10:00:00+02:00	3015329.7	EUR	MAYBE	communications		batch-003.json
37	TED:570646-2026	Latvia – Public relations services – Sociālās kampaņas “neJAUCIES svešās darīšanās” izstrāde	Valsts izglītības attīstības aģentūra	2026-09-07T10:00:00+02:00			MAYBE	public-relations		batch-003.json
38	US-SAM:97909f212e4641a9a19a4fc113a1f95d	31 FSS Laundry and Dry-Cleaning Services, Aviano AB, Italy	DEPT OF DEFENSE	2026-08-28T14:00:00+00:00			MAYBE	training-course	(MO) no later than the 3rd workday of the following month. 1.2.2. Counting of items to be laundered will be accomplished by the government p	batch-003.json
39	US-SAM:1e184e9cb5c845bdba4db6656e8a1576	Sports Officiating and Scorekeeping Services IDIQ	DEPT OF DEFENSE	2026-09-08T22:00:00+00:00			MAYBE	training-course	SEE SCHEDULE 12. DISCOUNT TERMS 13a.THIS CONTRACT IS A RATED ORDER UNDER THE DEFENSE PRIORITIES AND ALLOCATIONS SYSTEM-DPAS (15 CFR 700) 13b	batch-003.json
40	US-SAM:18f2a8b45bac42519673117b5662b398	Control Box, Electrical	DEPT OF DEFENSE	2026-09-16T19:00:00+00:00			MAYBE	training-course	===== FILE: files/26-00968_Synopsis.pdf ===== PR Number(s): FD20302600968PLN Line Item: 0001 NSN: 1660011408406 NOUN: CONTROL BOX, ELECTRI P	batch-003.json
41	US-SAM:a1797ae680a343188a90fcbf7fdf78c9	Cable Assembly	DEPT OF DEFENSE	2026-09-01T00:00:00+00:00			MAYBE	training-course	r schedules. If no response is received during the required response time, the contractor self-attests order acceptance as is. A-19. Long Le	batch-004.json
42	US-SAM:b8ef186f5b704a80ad251c3d157f9fe3	Repair Aircraft Handler and Battery Replacement	DEPT OF DEFENSE	2026-08-27T02:00:00+00:00			MAYBE	training-course	===== FILE: files/Attachment_1_-_Performance_of_Work_Statement_FA527026QB028.pdf ===== PERFORMANCE WORK STATEMENT (PWS) 18 AMXS 67 AMU [x4 A	batch-004.json
43	US-SAM:6cc9a376142743d498492578fca89e59	Moving Services	DEPT OF DEFENSE	2026-08-19T16:00:00+00:00			MAYBE	training-course	or must provide employees with 1 hour of paid sick leave for every 30 hours they work, up to 56 hours of paid sick leave each year. Employee	batch-004.json
44	US-SAM:e69f6555505249e5bda6dd94dfb65a96	Mobile Radio Installation	DEPT OF DEFENSE	2026-08-24T16:00:00+00:00			MAYBE	training-course	DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-004.json
45	US-SAM:53ba3b21ee354f23a73658e1f34f3ffd	Audio and Video Upgrade	DEPT OF DEFENSE	2026-08-31T19:00:00+00:00			MAYBE	communications,training-course	===== FILE: files/Audio_and_Video_combo_282_29.pdf ===== Submission Instructions Your quote must be submitted as a single PDF document and m	batch-004.json
46	ZA_ETENDERS_OCDS:ocds-9t57fa-165669-2026-08-14	RFQ15/08/2026	Enoch Mgijima Local Municipality	2026-08-20T12:00:00+00:00		ZAR	MAYBE	workshop	__ TENDER AMOUNT: ______________________________________________________ REQUEST FOR QUOTATION: RFQ15/08/2026 2 RFQ15/08/2026 SUPPLY AND INS	batch-004.json
47	US-SAM:1b1b678dfd5440a68343030518e40e2a	J--GC26 FIRE ALARM SYSTEM REPLACEMENT	INTERIOR, DEPARTMENT OF THE	2026-08-31T18:00:00+00:00			MAYBE	workshop	===== FILE: files/00_00_01_Specifications_GC_FIre_sytem_Replacement.pdf ===== U.S. Department of the Interior AUGUST 2023 Glen Canyon Powerp	batch-004.json
48	ZA_ETENDERS_OCDS:ocds-9t57fa-165726-2026-08-14	EWSETA/RFQ/026/2026-27	Energy and Water Sector Education and Training Authority	2026-08-21T13:00:00+00:00		ZAR	MAYBE	workshop	ent. In this context, EWSETA is keen to form sustainable partnerships and/or collaborations that will further promote its support for transf	batch-004.json
49	US-SAM:a510a0e31d404f1c84f62ba4b4366182	NSN:1660-01-210-6728BO NOUN:REGULATOR,OXYGEN,DE	DEPT OF DEFENSE	2026-09-01T20:00:00+00:00			MAYBE	training-course	USED/OVERHAULED C O M M L S U R P L U S NEW/UNUSED NEW/RECONDITIONED NEW/MODIFIED USED/OVERHAULED SURPLUS EVALUATION CRITERIA (If Section 11	batch-004.json
50	US-SAM:0ca6c1ed90bd40cb9247e8604947fe77	BRAND NAME MANDATORY Markforged 3D Printer	DEPT OF DEFENSE	2026-09-01T14:00:00+00:00			MAYBE	training-course	DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-004.json
51	US-SAM:4c3c37fc509246fd967996ddfc159cde	Ceiling Tile Replacement	DEPT OF DEFENSE	2026-08-27T13:00:00+00:00			MAYBE	training-course	DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-005.json
52	US-SAM:9fe95ab4652b4b49873a92564172c48d	SOLICITATION: Flooring Material and Installation BPA (Amendment 1)	DEPT OF DEFENSE	2026-08-21T21:00:00+00:00			MAYBE	training-course	ll begin no earlier than 0700 hours and end no later than 1600 hours, Monday thru Friday, unless otherwise approved by the Contracting Offic	batch-005.json
53	US-SAM:c5f53c4a404448cb9a8919b3658b1ac0	MCRDPI Boat Maintenance Contract	DEPT OF DEFENSE	2026-08-22T00:00:00+00:00			MAYBE	training-course	DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RA	batch-005.json
54	US-SAM:4d39e07683f741caad6d605f420e51b5	Hotel Lodging and Conference services in November 2026 in Cluj Napoca/ Romania	STATE, DEPARTMENT OF	2026-08-28T14:00:00+00:00			MAYBE	workshop	===== FILE: files/RFQ_19R01026Q0012_IPLEC_workshop_Cluj_Napoca.pdf ===== 1 U.S. Embassy Bucharest Date: 14 August 2026 Dear Prospective Quot	batch-005.json
55	US-SAM:cbc865d0938f42b28782014245c9f6be	Logistics Fundamentals and Supply Chain Management Training	DEPT OF DEFENSE	2026-08-19T16:00:00+00:00			MAYBE	training-course	ry of one course per month over a six-month period. However, in the event of unforeseen schedule disruptions, including Government furloughs	batch-005.json
56	US-SAM:7cb42664fe7b46b2b360da57c5afc314	BONNET CARRE SPILLWAY STRUCTURE GRATING SUPPLY CONTRACT St. Charles Parish, LA	DEPT OF DEFENSE	2026-09-18T16:00:00+00:00			MAYBE	training-course	N ISSUE DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. R	batch-005.json
57	US-SAM:52c990e8745049d1b4da4814ff3b6206	BONNET CARRE SPILLWAY ROTARY CUTTER SUPPLY CONTRACT St. Charles Parish, LA	DEPT OF DEFENSE	2026-09-18T16:00:00+00:00			MAYBE	training-course	N ISSUE DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. R	batch-005.json
58	US-SAM:03c4f2d88edc4bee9a6ea9b1b45c67c9	Spectrum Analyzer	DEPT OF DEFENSE	2026-08-26T21:00:00+00:00			MAYBE	training-course	===== FILE: files/Attachment_1_-_Salient_Characteristics_-_Spectrum_Analyzer.pdf ===== Salient Characteristics of the Requirement Salient ch	batch-005.json
59	US-SAM:f2b74fd7d753480abebef86f9a36d950	Nomex Fabric Cloth	DEPT OF DEFENSE	2026-08-18T18:00:00+00:00			MAYBE	training-course	THIRD PARTY DEALER IS YOUR COMPANY’S PRICING INDEPENDENT FROM THE MANUFACTURER? Yes ___ No ___ SAM CAGE CODE: ________________ Representatio	batch-005.json
60	US-SAM:e40972efb2254463b365837c3149eac8	S208--Janitorial OKC VAMC Base w/4OY 09-01-2026 to 08-31-2027	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-24T15:00:00+00:00			MAYBE		ic Approximate Square Feet: 34,997 4303 Pittman and Thomas Ft. Sill, Lawton OK 73503 Lawton North VA Community Based Outpatient Clinic: 17,0	batch-005.json
61	ZA_ETENDERS_OCDS:ocds-9t57fa-165449-2026-08-13	5/2/1/1 2026-2027/151	National - Department of Agriculture	2026-08-21T11:00:00+00:00		ZAR	MAYBE		L EXTENSION REFORM. CLOSING DATE: 21 AUGUST 2026 @ 11:00 TECHNICAL ENQUIRIES : Ms Fezeka Matebeni TEL : 012 337 9372/078 824 9942 EMAIL: Fez	batch-006.json
62	TED:571876-2026	Ireland – Business services: law, marketing, consulting, recruitment, printing and security – Multi Supplier Framework Agreement for the provision of Services related to the Receipt and Inve	The Office of Government Procurement	2026-08-28T12:00:00+01:00	2200000.0	EUR	MAYBE		d regime File Associated :<8854371_Contract notice - general directive, standard regime.pdf > ===== FILE: files/1337_8854371_unpacked/1_THR0	batch-006.json
63	IE:8860090	Website and App Accessibility Audit Solution	Department of Housing Local Government and Heritage	2026-09-18T12:00:00+01:00	350000.0	EUR	MAYBE		===== FILE: files/2192_8860090_unpacked/1_Website and App Accessibility RFT Final.pdf ===== Request for Tenders dated 17th August 2026 for t	batch-006.json
64	TED:559457-2026	Malta – Medical equipments, pharmaceuticals and personal care products – CT3011/2026 - TENDER FOR THE SUPPLY OF QTY THREE (3) SKELETAL DIRECT DIGITAL, DUAL DETECTOR X-RAY SYSTEMS FOR THE GOZ	Department of Contracts	2026-09-11T09:30:00+02:00	1708983.0	EUR	MAYBE		on> </options> <formula type="list"> <score option-value="1">100</score> <score option-value="2">0</score> </formula> </criterion> <criterio	batch-006.json
65	TED:570031-2026	Ireland – Software implementation services – 0050 - The Provision and Implementation of a Contract Lifecycle Management System	An Post_391	2026-09-04T12:00:00+01:00		EUR	MAYBE		ractor” means such person(s) firm(s) company(ies) partnership(s) corporation (s) with whom a Contract is entered into by AN POST to provide 	batch-006.json
66	US-SAM:5c1a2f71d8794e7dbdb025c48d76b401	F108--Restoration & Remediation Emergency Flood Response Services	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-19T16:00:00+00:00			MAYBE		ervices to be performed. To enhance flexibility and to allow the BPA holder to determine the optimum labor mix for the order the BPA holder 	batch-006.json
67	US-SAM:6fe0639a50b8403ba7c62f23bf348b55	INL_RFQ-PR16095134 - NEGOTIATION AND SITUATION MANAGEMENT TECHNOLOGY EQUIPMENT - BOG	STATE, DEPARTMENT OF	2026-09-01T21:00:00+00:00			MAYBE		ORDER NUMBER 5. SOLICITATION NUMBER 6. SOLICITATION ISSUE DATE 7. FOR SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect	batch-006.json
68	US-SAM:54764ad67d6d4cd9a6bfc5cc06eeb26f	TEGUC-Physical Messaging Campaign Development and Execution	STATE, DEPARTMENT OF	2026-09-03T16:00:00+00:00			MAYBE		in target communities across Honduras. The price listed below shall include all labor, materials, overhead, and profit. In consideration of 	batch-006.json
69	US-SAM:3aa9e3bd99b54cf0acee15ec3d67db42	FIRE AND SECURITY ALARM PANAL REPLACEMENT AT VALLE	INTERIOR, DEPARTMENT OF THE	2026-09-11T16:00:00+00:00			MAYBE		===== FILE: files/Attachment_1_-_Wage_Determination_WD_15-5791_Rev_32.pdf ===== ===== FILE: files/Attachment_2_-_Quote_Submission_Package_14	batch-006.json
70	US-SAM:440811a924f6493098c3bba6c8cc351f	6515--PureSteel Mobile Soaking Station RFQ SDVOSB for the Hines VAMC	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-25T04:59:00+00:00			MAYBE		tps://www.vis.fsc.va.gov/login.aspx?ReturnUrl=%2fDefault.aspx INVOICES: Invoices shall be submitted in arrears: a. Quarterly _______ b. Semi	batch-006.json
71	US-SAM:9602802ce5ba4f28bd662731da78a0c2	F--OR -Bear Valley NWR -FUEL REDUCTION	INTERIOR, DEPARTMENT OF THE	2026-08-21T17:00:00+00:00			MAYBE		ded in this notice and award. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation wil	batch-007.json
72	US-SAM:69ec67f13c684306bc330302ae5bdd0d	F--Remediation & Site Characterization - Napaskiak,AK	INTERIOR, DEPARTMENT OF THE	2026-08-21T00:00:00+00:00			MAYBE		tion Agency’s 2019 Low Stress (low flow) Purging and Sampling Procedure for the Collection of Groundwater Samples from Monitoring Wells and 	batch-007.json
73	ZA_ETENDERS_OCDS:ocds-9t57fa-165748-2026-08-17	OVI01REQ004460	Agricultural Research Council	2026-08-24T11:00:00+00:00		ZAR	MAYBE		iles/OVI01REQ004460.pdf ===== Page 1 of 12 Request for Quotation RFQ NUMBER: OVI01REQ004460 CLOSING DATE: Date: 24 August 2026 Time: 11:00 D	batch-007.json
74	US-SAM:015e7131fa46424cbaf980da23308787	Purchase NSN 5120012419719, SOCKET WRENCH SET	GENERAL SERVICES ADMINISTRATION	2026-08-27T21:00:00+00:00			MAYBE		____________________________________Title________________________________ Phone: _________________________________ Fax: ____________________	batch-007.json
75	US-SAM:ff9d55d6a268428081b54dc02f5bf2c1	AI TECHNOLOGIES FOR PROCUREMENT MODERNIZATION COMMERCIAL SOLUTIONS OPENING (CSO)	HOMELAND SECURITY, DEPARTMENT OF	2026-08-26T14:00:00+00:00			MAYBE		lysis of procurement-related news and trends. News/article monitoring, sentiment scoring, customizable alerts Relevance of alerts, actionabl	batch-007.json
76	US-SAM:c0af7b599eda45f18bc903d18fb42fb8	CONNEX Workshop	DEPT OF DEFENSE	2026-08-28T19:00:00+00:00			MAYBE	workshop	===== FILE: files/1._Salient_Characteristics.pdf ===== The Contractor shall provide one EISU Deployable Workshop. All parts and specificatio	batch-007.json
77	US-SAM:a77ea25acecf474bbb56bc19d9004c57	Box Licenses	DEPT OF DEFENSE	2026-09-16T00:00:00+00:00			MAYBE	software-maintenance,software-resale	Enterprise software licenses and annual software maintenance agreement. The Box software is a commercial, cloud-based software as a service 	batch-007.json
78	US-SAM:38ae60ea2cb04f5d8d14713946892925	Request for Proposals (RFP) - BARDA Vaccine Medical Countermeasures for Pandemic Influenza Preparedness & Response	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-10-30T21:00:00+00:00			MAYBE		2.214-7 or 52.215-1. All offers are subject to all terms and conditions contained in this solicitation. (Date)(Hour) local timeuntildeposito	batch-007.json
79	US-SAM:2e4d29dade93498da98c07dacb2374e6	Request of Proposals (RFP) - BARDA Vaccine Medical Countermeasures for Pandemic Influenza Preparedness & Response	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-10-30T21:00:00+00:00			MAYBE		2.214-7 or 52.215-1. All offers are subject to all terms and conditions contained in this solicitation. (Date)(Hour) local timeuntildeposito	batch-007.json
