warehouse_source,country,category,subcategory,records,buyers,median_estimated_value,median_bidders,one_bidder_rows
United Kingdom,United Kingdom,Other,Weather stations,4,4,,,0
United Kingdom,United Kingdom,Other,Heating-plant repair and maintenance work,4,3,,,0
United Kingdom,United Kingdom,Other,Construction work for gas pipelines,4,2,,,0
Ireland,Ireland,Other,"Echo, ultrasound and doppler imaging equipment.",4,4,70000.0,,0
TED,PL,Web,Website / CMS,4,4,668000.0,,0
Ireland,Ireland,Other,Pick-ups.,4,4,400000.0,,0
United Kingdom,United Kingdom,Other,School furniture,4,3,,,0
United Kingdom,United Kingdom,Other,Roofing materials,4,4,,,0
Ireland,Ireland,Other,Repair and maintenance services of escalators.,4,3,1100000.0,,0
TED,IND,Other,UNKNOWN,4,3,3000000.0,,0
Canada federal,Canada,Other,*Hydrological instruments,4,2,,,0
United Kingdom,United Kingdom,Other,Diagnostic devices,4,2,6000000.0,,0
United Kingdom,United Kingdom,Other,Concrete repair work,4,3,6200000.0,,0
Canada federal,Canada,Other,*Curriculum development service,4,3,,,0
United Kingdom,United Kingdom,Other,Exhibition equipment,4,4,517500.0,,0
Ireland,Ireland,Other,Installation of outdoor illumination equipment.,4,3,,,0
Canada federal,Canada,Other,*Marine navigational or communication services,4,2,,,0
Canada federal,Canada,Other,*Job evaluation service,4,3,,,0
TED,IS,Monitoring / research,Monitoring / analysis,4,3,282744505.0,,0
United Kingdom,United Kingdom,Other,Air filters,4,4,250000.0,,0
Ireland,Ireland,Other,Wrapping machines.,4,1,300000.0,,0
United Kingdom,United Kingdom,Other,Beach services,4,4,,,0
United Kingdom,United Kingdom,Other,Repair and maintenance services of testing apparatus,4,4,550000.0,,0
United Kingdom,United Kingdom,Other,Water filtration apparatus,4,4,207500.0,,0
Ireland,Ireland,Other,Gloves.,4,3,650000.0,,0
Ireland,Ireland,Other,Harbour equipment.,4,3,10125000.0,,0
United Kingdom,United Kingdom,Other,Environmental rehabilitation,4,2,68750.0,,0
United Kingdom,United Kingdom,Other,"Spacecraft, satellites and launch vehicles",4,4,2500000000.0,,0
United Kingdom,United Kingdom,Other,Desktop computer,4,4,250000.0,,0
Ireland,Ireland,Other,Tents.,4,2,,,0
United Kingdom,United Kingdom,Other,Leisure centre construction work,4,4,1750000.0,,0
Ireland,Ireland,Other,Repair and maintenance services of medical and precision equipment.,4,3,260000.0,,0
United Kingdom,United Kingdom,Other,Analysis apparatus,4,4,210000.0,,0
United Kingdom,United Kingdom,Other,Waste incinerators,4,4,,,0
United Kingdom,United Kingdom,Other,Feasibility study,4,4,250000.0,,0
United Kingdom,United Kingdom,Other,Police patrol boats,4,4,350000.0,,0
United Kingdom,United Kingdom,Other,Seminar organisation services,4,3,382493.0,,0
United Kingdom,United Kingdom,Other,Offshore supply-vessel services,4,3,1250000.0,,0
United Kingdom,United Kingdom,Other,Radiation dosimeters,4,4,500000.0,,0
Canada federal,Canada,Other,*Lamps and lightbulbs and lamp components,4,2,,,0
Canada federal,Canada,Other,*Security systems services,4,4,,,0
Ireland,Ireland,Other,Accommodation and restaurant buildings.,4,4,600000.0,,0
Canada federal,Canada,Other,*Risk management consultation service,4,4,,,0
United Kingdom,United Kingdom,Other,Air-conditioning installations,4,4,,,0
United Kingdom,United Kingdom,Other,Ventilation installation work,4,3,100000.0,,0
Canada federal,Canada,Other,*Events management,4,3,,,0
United Kingdom,United Kingdom,Other,Miscellaneous furniture,4,1,,,0
United Kingdom,United Kingdom,Other,Acoustic devices,4,3,20000000.0,,0
Ireland,Ireland,Other,Hydrographic surveying services.,4,3,115000.0,,0
United Kingdom,United Kingdom,Other,Professional services for the gas industry,4,4,100000000.0,,0
United Kingdom,United Kingdom,Other,Mirrors,4,2,,,0
Ireland,Ireland,Other,Carriageway resurfacing works.,4,4,1000000.0,,0
Ireland,Ireland,Other,Power tools.,4,2,475000.0,,0
Ireland,Ireland,Other,Electronic timekeeping systems.,4,4,400000.0,,0
United Kingdom,United Kingdom,Other,Floor-cleaning machines,4,4,1575000.0,,0
Ireland,Ireland,Other,Road equipment.,4,4,180000.0,,0
Ireland,Ireland,Other,Diesel oil.,4,4,500000.0,,0
Ireland,Ireland,Other,General personnel services for the government.,4,3,500000.0,,0
United Kingdom,United Kingdom,Other,Renal support devices,4,4,,,0
Ireland,Ireland,Other,Battery chargers.,4,4,1050000.0,,0
United Kingdom,United Kingdom,Other,Development of non-residential real estate,4,4,,,0
Ireland,Ireland,Other,Medical education services.,4,4,230000.0,,0
Ireland,Ireland,Other,"Laboratory, hygienic or pharmaceutical glassware.",4,4,200000.0,,0
Ireland,Ireland,Other,Shelters.,4,3,3525000.0,,0
Canada federal,Canada,Other,*Panels or panelling,4,2,,,0
Canada federal,Canada,Other,*Building and facility maintenance and repair services *Building maintenance and repair services,4,2,,,0
Canada federal,Canada,Other,*Commercial and office building construction services *Building construction management,4,1,,,0
Canada federal,Canada,Other,*Office supplies,4,3,,,0
United Kingdom,United Kingdom,Other,Bus maintenance services,4,3,2175000.0,,0
United Kingdom,United Kingdom,Other,Heating equipment,4,4,4500000.0,,0
Canada federal,Canada,Other,*Comprehensive health services,4,3,,,0
Canada federal,Canada,Other,*Miscellaneous optical components,4,3,,,0
Canada federal,Canada,Other,*Individual health assessment,4,4,,,0
Canada federal,Canada,Other,*Equipment test calibration or repair,4,3,,,0
Canada federal,Canada,Other,*Computer and Data Processing Services,4,1,,,0
United Kingdom,United Kingdom,Other,Accident and health insurance services,4,4,,,0
United Kingdom,United Kingdom,Other,Bridge renewal construction work,4,4,,,0
Canada federal,Canada,Other,*Teaching and educational research service *Military science and research,4,1,,,0
Canada federal,Canada,Other,*Fire protection,4,4,,,0
Ireland,Ireland,Other,Transformers.,4,4,450000.0,,0
United Kingdom,United Kingdom,Other,Restoration work,4,4,,,0
United Kingdom,United Kingdom,Other,Sprinkler systems installation work,4,3,800000.0,,0
Ireland,Ireland,Other,General public services.,4,3,700000.0,,0
United Kingdom,United Kingdom,Other,High-pressure cleaning apparatus,4,4,,,0
Ireland,Ireland,Other,"Forklift trucks, works trucks, railway-station platforms tractors.",4,4,80000.0,,0
United Kingdom,United Kingdom,Other,Construction work for school buildings,4,4,57000000.0,,0
Canada federal,Canada,Other,*Commercial painting service,4,3,,,0
Canada federal,Canada,Other,*Hoists,4,2,,,0
Ireland,Ireland,Other,Construction work for swimming pool.,4,3,342500.0,,0
Canada federal,Canada,Other,*Safety apparel,4,4,,,0
Ireland,Ireland,Other,Paving materials.,4,3,10000000.0,,0
United Kingdom,United Kingdom,Other,"Installation services of laundry washing, dry-cleaning and drying machines",4,3,5925000.0,,0
Ireland,Ireland,Other,Helicopters and aeroplanes.,4,2,875000.0,,0
Canada federal,Canada,Other,*Badges or badge holders,4,2,,,0
Ireland,Ireland,Other,Fire-detection systems.,4,4,355000.0,,0
Ireland,Ireland,Other,Road furniture.,4,3,30000.0,,0
Ireland,Ireland,Other,Eggs.,4,3,11356000.0,,0
Canada federal,Canada,Other,*Packaging machinery,4,1,,,0
Ireland,Ireland,Other,Video films.,4,4,325000.0,,0
Ireland,Ireland,Other,Transport document preparation services.,4,3,,,0
United Kingdom,United Kingdom,Other,Airport operation services,4,3,100000000.0,,0
Canada federal,Canada,Other,*Civil engineering *Architectural engineering,4,2,,,0
Ireland,Ireland,Other,Hospital facilities construction work.,4,3,2000000.0,,0
TED,MRT,Document / data,Digitization / OCR,4,1,1875000.0,,0
Canada federal,Canada,Other,*Transmission repair,4,2,,,0
Ireland,Ireland,Other,"Railway maintenance or service vehicles, and railway freight wagons.",4,2,875160000.0,,0
Ireland,Ireland,Other,Basic inorganic and organic chemicals.,4,4,250000.0,,0
United Kingdom,United Kingdom,Other,Cooling-water pumps,4,2,250000.0,,0
TED,BIH,Automation / software,Software / automation,4,3,,,0
Canada federal,Canada,Other,*Bags,4,3,,,0
TED,TGO,Other,UNKNOWN,4,2,3950000.0,,0
TED,GR,Creative / communications,Design / publishing,4,3,297740.0,,0
United Kingdom,United Kingdom,Other,Magnetic resonance imaging equipment,4,3,1500000.0,,0
Canada federal,Canada,Other,*Computer vocational training services,4,2,,,0
United Kingdom,United Kingdom,Other,Checking and testing apparatus,4,4,,,0
TED,KEN,Monitoring / research,Monitoring / analysis,4,3,8905000.0,,0
Canada federal,Canada,Other,"*Radio and Television Communications Equipment, Except Airborne",4,2,,,0
Ireland,Ireland,Other,Workshop equipment.,4,3,220000.0,,0
TED,IN,Other,UNKNOWN,4,3,2560000000.0,,0
Canada federal,Canada,Other,*Refuse collection and disposal,4,3,,,0
Canada federal,Canada,Other,*Road cargo transport *Local area trucking services *Regional or national trucking services,4,2,,,0
TED,MMR,Creative / communications,Design / publishing,4,1,1850000.0,,0
TED,FI,Monitoring / research,Monitoring / analysis,4,4,3035954.0,,0
TED,TJK,Other,UNKNOWN,4,3,,,0
United Kingdom,United Kingdom,Other,Diagnostic X-ray system,4,1,,,0
United Kingdom,United Kingdom,Other,Tyres for motor cars,4,4,,,0
TED,USA,Creative / communications,Design / publishing,4,1,3500000.0,,0
United Kingdom,United Kingdom,Other,Incontinence kit,4,4,10000000.0,,0
Ireland,Ireland,Other,Kitchen equipment.,4,3,2500000.0,,0
TED,EC,Other,UNKNOWN,4,3,20414745.59,,0
Canada federal,Canada,Other,*Cultural and ethnic group relations consultation and engagement,4,3,,,0
United Kingdom,United Kingdom,Other,Parts of radio and radar equipment,4,3,315000.0,,0
TED,KHM,Other,UNKNOWN,4,3,11081405.59,,0
Canada federal,Canada,Other,*Building and facility maintenance and repair services *Building maintenance and repair services *Building maintenance service,4,3,,,0
Ireland,Ireland,Other,"Food, beverage and tobacco-processing machinery.",4,4,145000.0,,0
Ireland,Ireland,Other,Electrical-system repair services.,4,4,320000.0,,0
Canada federal,Canada,Other,*Laboratory electrophoresis and blotting system and supplies,4,4,,,0
Ireland,Ireland,Other,Dental and subspecialty instruments and devices.,4,3,1220325.0,,0
United Kingdom,United Kingdom,Other,Repair and maintenance services of pumps,4,3,24000000.0,,0
Ireland,Ireland,Other,Geophysical surveys of archaeological sites.,4,4,75000.0,,0
Ireland,Ireland,Other,Technical assistance services.,4,3,257500.0,,0
United Kingdom,United Kingdom,Other,Engineering support services,4,4,,,0
Canada federal,Canada,Other,*Laboratory furnaces and accessories,4,3,,,0
Canada federal,Canada,Other,*Highway and road paving service,4,3,,,0
United Kingdom,United Kingdom,Other,Harbour construction works,4,4,,,0
Canada federal,Canada,Other,*Individual health screening and assessment services,4,4,,,0
United Kingdom,United Kingdom,Other,Environmental impact assessment for construction,4,4,,,0
United Kingdom,United Kingdom,Other,Personal computers,4,4,,,0
United Kingdom,United Kingdom,Other,Compulsory social security services,4,4,4211861.59,,0
Canada federal,Canada,Other,*Specification standardization services *Government relations consultation and engagement *Community relations consultation and engagement,4,2,,,0
Ireland,Ireland,Other,Gas-detection apparatus.,4,3,80000.0,,0
United Kingdom,United Kingdom,Other,Tank-cleaning services,4,4,,,0
United Kingdom,United Kingdom,Other,Copyright consultancy services,4,3,,,0
United Kingdom,United Kingdom,Other,Hospital beds,4,4,4000000.0,,0
United Kingdom,United Kingdom,Other,Military electronic systems,4,1,,,0
Ireland,Ireland,Other,Daycare centre construction work.,4,4,425000.0,,0
United Kingdom,United Kingdom,Other,Solid fuels,4,4,230000.0,,0
Canada federal,Canada,Other,*Radio communication monitoring system,4,2,,,0
Canada federal,Canada,Other,*Industry specific software,4,2,,,0
Ireland,Ireland,Other,"Machinery for mining, quarrying, construction equipment.",4,4,85000.0,,0
Ireland,Ireland,Other,Artistic services.,4,3,372000.0,,0
Ireland,Ireland,Other,Horticultural services.,4,4,100000.0,,0
Canada federal,Canada,Other,*Private investigation services,4,4,,,0
United Kingdom,United Kingdom,Other,Glazing work,4,3,365000.0,,0
United Kingdom,United Kingdom,Other,Asphalt,4,4,1500000.0,,0
Canada federal,Canada,Other,*Golf carts,4,3,,,0
United Kingdom,United Kingdom,Other,Roadstone,4,4,12800000.0,,0
United Kingdom,United Kingdom,Other,Engineering insurance services,4,3,90000.0,,0
United Kingdom,United Kingdom,Other,Weapons and ammunition disposal services,4,3,,,0
Canada federal,Canada,Other,*Sports and Recreational Equipment and Supplies and Accessories,4,1,,,0
United Kingdom,United Kingdom,Other,Operation of a power plant,4,3,,,0
Ireland,Ireland,Other,Installation services (except software).,4,3,26250.5,,0
United Kingdom,United Kingdom,Other,Photographic services,4,4,,,0
Ireland,Ireland,Other,Advertising photography services.,4,3,141301.0,,0
United Kingdom,United Kingdom,Other,Roof maintenance work,4,4,10000000.0,,0
United Kingdom,United Kingdom,Other,Paramedical services,4,3,440888.66000000003,,0
United Kingdom,United Kingdom,Other,Construction work for warehouses and industrial buildings,4,4,14700000.0,,0
United Kingdom,United Kingdom,Other,Secondary school construction work,4,3,1750000.0,,0
Ireland,Ireland,Other,Certification services.,4,2,50000.0,,0
Ireland,Ireland,Other,Environmental monitoring other than for construction.,4,3,1280000.0,,0
Canada federal,Canada,Other,"*Clinical chemistry testing systems, components, and supplies",4,3,,,0
United Kingdom,United Kingdom,Other,Reception services,4,4,49767487.5,,0
United Kingdom,United Kingdom,Other,Industrial gases,4,3,25000000.0,,0
United Kingdom,United Kingdom,Other,Water-treatment chemicals,4,4,160000.0,,0
United Kingdom,United Kingdom,Other,Fire-detection systems,4,4,,,0
Canada federal,Canada,Other,*Residential building construction services *Residential construction,4,2,,,0
United Kingdom,United Kingdom,Other,Devices and instruments for infusion,4,3,232000000.0,,0
Canada federal,Canada,Other,*Manufacturing technology research and development services,4,2,,,0
United Kingdom,United Kingdom,Other,Aircraft operating services,4,1,,,0
Ireland,Ireland,Other,Organisation of package tours.,4,2,400000.0,,0
Canada federal,Canada,Other,*Motor vehicles *Specialized vehicle systems and components,4,1,,,0
United Kingdom,United Kingdom,Other,Bespoke printed matter,4,3,100000.0,,0
Ireland,Ireland,Other,Video transmission apparatus.,4,2,280000.0,,0
Ireland,Ireland,Other,Water pumps.,4,2,85000.0,,0
Canada federal,Canada,Other,*Industrial trucks,4,2,,,0
Canada federal,Canada,Other,*Chemicals including Bio Chemicals and Gas Materials,4,1,,,0
United Kingdom,United Kingdom,Other,Driving-school services,4,4,300000.0,,0
United Kingdom,United Kingdom,Other,District-heating mains construction work,4,4,1.0,,0
United Kingdom,United Kingdom,Other,Undertaking services,4,4,2000000.0,,0
United Kingdom,United Kingdom,Other,Dental consumables,4,3,13000000.0,,0
Canada federal,Canada,Other,*Oscilloscopes,4,4,,,0
United Kingdom,United Kingdom,Other,"Cable, wire and related products",4,4,280000.0,,0
United Kingdom,United Kingdom,Other,CNC lathe,4,4,250000.0,,0
Canada federal,Canada,Other,*Industrial pumps and compressors *Compressors,4,1,,,0
Canada federal,Canada,Other,*Events management *Trade promotion services *Meeting planning services,4,2,,,0
United Kingdom,United Kingdom,Other,Storage units,4,4,,,0
United Kingdom,United Kingdom,Other,Vehicles for the emergency services,4,4,400000.0,,0
Canada federal,Canada,Other,*Financial asset management service,4,4,,,0
Ireland,Ireland,Other,Airport equipment.,4,4,600000.0,,0
Ireland,Ireland,Other,Development services of real estate.,4,2,129000000.0,,0
Ireland,Ireland,Other,Overhead electrical equipment.,4,1,512500000.0,,0
United Kingdom,United Kingdom,Other,Diving instruments or accessories,4,1,,,0
United Kingdom,United Kingdom,Other,High voltage installation work,4,4,1600000.0,,0
United Kingdom,United Kingdom,Other,Fire-alarm systems,4,4,12500000.0,,0
United Kingdom,United Kingdom,Other,Breast prostheses,4,3,835000.0,,0
United Kingdom,United Kingdom,Other,Special trade construction works other than roof works,4,3,,,0
United Kingdom,United Kingdom,Other,Racking,4,3,275000.0,,0
Ireland,Ireland,Other,Weatherproof clothing.,4,4,1000000.0,,0
Ireland,Ireland,Other,Internet network.,4,3,400000.0,,0
United Kingdom,United Kingdom,Other,Hearing aids,4,4,,,0
United Kingdom,United Kingdom,Other,Installation of pipe system,4,2,,,0
Ireland,Ireland,Other,Sewerage work.,4,3,1200000.0,,0
Ireland,Ireland,Other,Pianos.,4,3,150000.0,,0
United Kingdom,United Kingdom,Other,Telecommunications equipment,4,3,,,0
Canada federal,Canada,Other,*Metals and metallurgy and structural materials testing instruments,4,2,,,0
Canada federal,Canada,Other,*Automotive and light truck maintenance and repair *Heavy truck maintenance and repair,4,1,,,0
Ireland,Ireland,Other,Public-service buses.,4,2,3150000.0,,0
United Kingdom,United Kingdom,Other,"Electronic, electromechanical and electrotechnical supplies",4,4,1500000.0,,0
United Kingdom,United Kingdom,Other,Research and Development services on security and defence materials,4,3,,,0
Canada federal,Canada,Other,*Equipment inspection service,4,2,,,0
Ireland,Ireland,Other,"Repair and maintenance services for pumps, valves, taps and metal containers and machinery.",4,4,300000.0,,0
Canada federal,Canada,Other,*Arms and ammunition accessories,4,3,,,0
United Kingdom,United Kingdom,Other,Flatwork for children's play area,4,3,70000.0,,0
United Kingdom,United Kingdom,Other,Recreational-area services,4,4,25000000.0,,0
Canada federal,Canada,Other,*Nonresidential building construction services *Commercial and office building construction services,4,2,,,0
Ireland,Ireland,Other,Scanners for computer use.,3,2,120000.0,,0
United Kingdom,United Kingdom,Other,Trailers,3,3,,,0
Ireland,Ireland,Other,Pouches and wallets.,3,2,7317073.0,,0
United Kingdom,United Kingdom,Other,Water demineralisation services,3,2,90000.0,,0
United Kingdom,United Kingdom,Other,Various chemical products,3,3,,,0
United Kingdom,United Kingdom,Other,Syringes,3,2,,,0
Canada federal,Canada,Other,*Financial analysis software,3,2,,,0
Canada federal,Canada,Other,*Food and beverage industries,3,3,,,0
United Kingdom,United Kingdom,Other,Boxes,3,3,,,0
Canada federal,Canada,Other,*Timber removal service,3,2,,,0
Ireland,Ireland,Other,Surface water pollution monitoring or control services.,3,3,17500.0,,0
Canada federal,Canada,Other,*Radar detectors,3,2,,,0
Ireland,Ireland,Other,Gas network equipment.,3,2,130000.0,,0
Canada federal,Canada,Other,*Milk and butter products,3,1,,,0
United Kingdom,United Kingdom,Other,Wheelchairs,3,3,914000.0,,0
TED,HR,Monitoring / research,Monitoring / analysis,3,3,350000.0,,0
United Kingdom,United Kingdom,Other,Chemical reagents,3,3,,,0
United Kingdom,United Kingdom,Other,Waste transfer station,3,3,,,0
Ireland,Ireland,Other,Pre-school education services.,3,3,1530116.0,,0
United Kingdom,United Kingdom,Other,Soft furnishings,3,2,11000000.0,,0
United Kingdom,United Kingdom,Other,Insulated wire and cable,3,2,750000.0,,0
United Kingdom,United Kingdom,Other,Television and radio broadcast transmission services,3,3,10000.0,,0
United Kingdom,United Kingdom,Other,Tents,3,2,250000.0,,0
TED,ZAF,Other,UNKNOWN,3,3,10000000.0,,0
Ireland,Ireland,Other,Medical practice and related services.,3,3,100000.0,,0
Ireland,Ireland,Other,Telephone-answering services.,3,3,215000.0,,0
TED,LV,Printing,Print / routing,3,1,20661.16,,0
United Kingdom,United Kingdom,Other,Justice services,3,3,175000.0,,0
Canada federal,Canada,Other,*Energy conservation,3,1,,,0
Ireland,Ireland,Other,Solar photovoltaic modules.,3,3,300000.0,,0
United Kingdom,United Kingdom,Other,Wheeled containers,3,1,130000.0,,0
Ireland,Ireland,Other,Diagnostic systems.,3,3,151000.0,,0
TED,TUR,Web,Website / CMS,3,3,6570000.0,,0
United Kingdom,United Kingdom,Other,Road salt,3,3,,,0
United Kingdom,United Kingdom,Other,Artificial and natural lighting engineering services for buildings,3,3,,,0
Canada federal,Canada,Other,*Inflatable rubber boat,3,2,,,0
Canada federal,Canada,Other,*Vehicle air conditioner,3,1,,,0
United Kingdom,United Kingdom,Other,Aircraft-engine repair services,3,1,,,0
United Kingdom,United Kingdom,Other,Hotel construction work,3,3,13000000.0,,0
United Kingdom,United Kingdom,Other,Public-service buses,3,2,,,0
Ireland,Ireland,Other,Medical specialist services.,3,2,1.0,,0
Canada federal,Canada,Other,*Motor vehicles *Truck tractors,3,3,,,0
Ireland,Ireland,Other,Portfolio management services.,3,3,,,0
United Kingdom,United Kingdom,Other,Project-management services other than for construction work,3,3,30000.0,,0
TED,MU,Other,UNKNOWN,3,2,1512600.0,,0
United Kingdom,United Kingdom,Other,Clothes-washing and drying machines,3,2,,,0
United Kingdom,United Kingdom,Other,Waterproof clothing,3,2,1720000.0,,0
United Kingdom,United Kingdom,Other,Multi-functional buildings construction work,3,3,,,0
TED,GR,Monitoring / research,Monitoring / analysis,3,3,749344.0,,0
United Kingdom,United Kingdom,Other,Signalling equipment,3,1,,,0
Ireland,Ireland,Other,Fans and air-conditioning appliances.,3,3,420000.0,,0
Ireland,Ireland,Other,"Laundry washing, dry-cleaning and drying machines.",3,3,315000.0,,0
TED,MLI,Creative / communications,Design / publishing,3,3,28300000.0,,0
TED,MQ,Creative / communications,Design / publishing,3,2,2000000.0,,0
United Kingdom,United Kingdom,Other,Cremators,3,3,,,0
United Kingdom,United Kingdom,Other,"Apparatus for sound, video-recording and reproduction",3,2,700000.0,,0
United Kingdom,United Kingdom,Other,Business organisation services,3,2,,,0
Canada federal,Canada,Other,*Explosives control equipment and accessories and supplies,3,2,,,0
United Kingdom,United Kingdom,Other,Theatrical producer entertainment services,3,3,,,0
Canada federal,Canada,Other,*Aircraft power supply units,3,1,,,0
Ireland,Ireland,Other,"Bending, folding, straightening or flattening machines.",3,1,150000.0,,0
Canada federal,Canada,Other,*Fermentation equipment,3,2,,,0
United Kingdom,United Kingdom,Other,Road-repair materials,3,3,,,0
Ireland,Ireland,Other,"Research, testing and scientific technical simulator.",3,2,30000.0,,0
United Kingdom,United Kingdom,Other,Fair and exhibition organisation services,3,3,20000.0,,0
Canada federal,Canada,Other,*Laboratory and scientific equipment *Laboratory supplies and fixtures,3,2,,,0
Canada federal,Canada,Other,*Toxic gas detection services,3,2,,,0
Canada federal,Canada,Other,*Location and navigation systems and components *Route navigation software,3,1,,,0
Ireland,Ireland,Other,Electronic mail services.,3,3,150000.0,,0
United Kingdom,United Kingdom,Other,Renal consumables,3,3,5600000.0,,0
United Kingdom,United Kingdom,Other,Satellite circuit rental services,3,2,1750000.0,,0
TED,BJ,Other,UNKNOWN,3,3,34759843812.5,,0
Ireland,Ireland,Other,Pipes and fittings.,3,2,140000.0,,0
Canada federal,Canada,Other,"*Radar Equipment, Except Airborne",3,1,,,0
Canada federal,Canada,Other,*Marine Architect and Engineering Services,3,1,,,0
Canada federal,Canada,Other,*Naval Architecture - Consulting Services,3,1,,,0
United Kingdom,United Kingdom,Other,Pipes and fittings,3,3,,,0
Canada federal,Canada,Other,"*Trailer, travel or caravan *Trailer, mobile classroom *Vehicle bodies and trailers *Product and material trailers",3,2,,,0
United Kingdom,United Kingdom,Other,Soil-decontamination work,3,2,,,0
United Kingdom,United Kingdom,Other,Fireworks,3,1,2400000.0,,0
United Kingdom,United Kingdom,Other,Computer platforms,3,3,,,0
Ireland,Ireland,Other,Dialysis needles.,3,1,11000000.0,,0
TED,LU,Document / data,Digitization / OCR,3,3,33900000.0,,0
United Kingdom,United Kingdom,Other,CT scanners,3,3,,,0
United Kingdom,United Kingdom,Other,Miscellaneous food products and dried goods,3,3,900000.0,,0
Canada federal,Canada,Other,*Medical equipment bags and cases and carriers and related products,3,3,,,0
Canada federal,Canada,Other,*Medical laboratories,3,3,,,0
Ireland,Ireland,Other,Thermal insulation work.,3,2,28650000.0,,0
Ireland,Ireland,Other,Water transport services.,3,3,130000.0,,0
United Kingdom,United Kingdom,Other,Liquid nitrogen,3,2,1500000.0,,0
Canada federal,Canada,Other,*Business and corporate management consultation services *Process and procedures management consultation service,3,2,,,0
Ireland,Ireland,Other,Leisure equipment.,3,3,100000.0,,0
Canada federal,Canada,Other,*Professional engineering services *Structural engineering,3,2,,,0
Ireland,Ireland,Other,Machine tools for working wood.,3,3,170000.0,,0
Canada federal,Canada,Other,*Banking and investment,3,1,,,0
Canada federal,Canada,Other,*Parking lot maintenance,3,3,,,0
United Kingdom,United Kingdom,Other,Animal feedstuffs,3,3,1.0,,0
United Kingdom,United Kingdom,Other,Instruments for measuring quantities,3,2,595000.0,,0
Canada federal,Canada,Other,*Automotive heating ventilation air conditioning HVAC control head assembly *Automotive heating ventilation air conditioning HVAC power module *Automotive heating ventilation air conditioning HVAC resistor assembly *Heating and cooling and air conditioning HVAC construction and maintenance services *HVAC mechanical construction service *HVAC process piping construction service *HVAC solar energy construction service *HVAC ventilation and duct work construction service *HVAC refrigeration construction service *HVAC heating system construction service *Heating and cooling and air conditioning HVAC installation and maintenance service,3,2,,,0
Canada federal,Canada,Other,*Focus group and public feedback meeting facilitation and analysis *Indigenous peoples relations consultation and engagement,3,2,,,0
United Kingdom,United Kingdom,Other,Curtains,3,3,,,0
Canada federal,Canada,Other,*Marine construction services *Marine engineering,3,2,,,0
Ireland,Ireland,Other,Storage tanks.,3,3,170000.0,,0
Canada federal,Canada,Other,*Laboratory microscope slides and supplies,3,3,,,0
Canada federal,Canada,Other,*Pharmaceutical production *Feasibility studies or screening of project ideas *Mechanical engineering,3,1,,,0
Ireland,Ireland,Other,Potatoes.,3,3,6032000.0,,0
United Kingdom,United Kingdom,Other,Baggage handling services,3,1,920000.0,,0
United Kingdom,United Kingdom,Other,Medical waste services,3,3,,,0
United Kingdom,United Kingdom,Other,Intercom equipment,3,3,250000.0,,0
United Kingdom,United Kingdom,Other,"Repair and maintenance services of military aircrafts, missiles and spacecrafts",3,1,150000000.0,,0
United Kingdom,United Kingdom,Other,Adhesives,3,2,80000.0,,0
United Kingdom,United Kingdom,Other,Photographic equipment,3,2,,,0
United Kingdom,United Kingdom,Other,Poles for carrying overhead lines,3,3,,,0
Canada federal,Canada,Other,*Rental of freight vessel for inland water transport with operator,3,3,,,0
Canada federal,Canada,Other,*Database management as a service,3,3,,,0
United Kingdom,United Kingdom,Other,Data equipment,3,3,150000000.0,,0
Ireland,Ireland,Other,Mobile homes.,3,3,190000.0,,0
Canada federal,Canada,Other,*Aircraft guidance systems,3,1,,,0
United Kingdom,United Kingdom,Other,Culture medium,3,3,8809107.84,,0
Canada federal,Canada,Other,*Miscellaneous Electrical and Electronic Components,3,2,,,0
United Kingdom,United Kingdom,Other,Public relations consultancy services,3,3,120.0,,0
TED,MX,Other,UNKNOWN,3,3,43675444.0,,0
TED,BGR,Web,Website / CMS,3,2,10600000.0,,0
Canada federal,Canada,Other,*Instrument parts and accessories,3,2,,,0
United Kingdom,United Kingdom,Other,Electricity meters,3,3,,,0
Ireland,Ireland,Other,Industrial process control equipment.,3,2,1087500.0,,0
Canada federal,Canada,Other,*Services Related to Goods,3,1,,,0
United Kingdom,United Kingdom,Other,Landscaping work for sports grounds and recreational areas,3,3,,,0
Ireland,Ireland,Other,Semiconductors.,3,2,125000.0,,0
Ireland,Ireland,Other,Heating engineering services for buildings.,3,2,50000.0,,0
United Kingdom,United Kingdom,Other,Surface work for roads,3,3,,,0
United Kingdom,United Kingdom,Other,Mail or parcel bags,3,2,,,0
Ireland,Ireland,Other,Construction equipment.,3,3,200000.0,,0
Canada federal,Canada,Other,"*Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance",3,1,,,0
Canada federal,Canada,Other,*Professional engineering services *Electrical engineering services,3,1,,,0
TED,SI,Web,Website / CMS,3,3,1201700.0,,0
United Kingdom,United Kingdom,Other,Government employee pension schemes,3,3,,,0
United Kingdom,United Kingdom,Other,HVAC packages,3,3,1590000.0,,0
United Kingdom,United Kingdom,Other,Street-cleaning and sweeping services,3,3,500000.0,,0
TED,UZB,Other,UNKNOWN,3,2,7532756.0,,0
Canada federal,Canada,Other,*Rubber and plastic processing machinery and equipment and supplies,3,2,,,0
United Kingdom,United Kingdom,Other,Training and simulation in firearms and ammunition,3,1,,,0
United Kingdom,United Kingdom,Other,Engineering design services for the construction of civil engineering works,3,3,,,0
