source_label,warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,structural_signal
USASPENDING_V1,USASPENDING_V1,USA,Web / digital,541611,contract closeout support services,5,3900806.4,1.0,73.51
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,research and development <n>authority,5,1999994.0,1.0,73.51
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,sbir phase ii research & development,5,2999984.15,1.0,73.51
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,new darpa sbir ii,5,1499739.0,1.0,72.95
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541712,igf::ot::igf research and development,4,2576502.5,1.0,71.85
GLOBAL_CORE_V4,United Kingdom,United Kingdom,IT / software / cyber,85121252,pro-active frailty healthcare service - north east lincolnshire,5,771422.0,1.0,71.67
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541714,"scientific, technical, administrative, and logistical support services (stalss)",4,1637110.4000000001,1.0,71.46
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,<n> authority research and development,4,1133762.0,1.0,70.75
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,baa call <n>  development of non-system specific technology to integrate unmanned aircraft systems (uas) into the nas,4,951658.49,1.0,70.41
GLOBAL_CORE_V4,TED,SWE,Web / digital,NO_CODE,förmånsportal <n>,4,5750000.0,1.0,69.85
GLOBAL_CORE_V4,Germany,Germany,Web / digital,45230000,"b<n> ou marienhagen/weenzen-nord voreinschnitt as marienhagen-süd, felssicherung etc.",3,32361715.75,1.0,69.82
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541712,igf::ot::igf r&d- medical: biomedical (applied research/exploratory development),3,4294728.29,1.0,69.82
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,research and development - base effort,3,3539757.45,1.0,69.82
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,sbir phase iii,3,7700000.0,1.0,69.82
GLOBAL_CORE_V4,United Kingdom,United Kingdom,Training / education,85100000,"acute secondary care, mental health and learning disability services for children and young people across cheshire and m",3,117947000.0,1.0,69.82
GLOBAL_CORE_V4,Germany,Germany,Web / digital,72200000,rahmenvertrag über externe dienst- bzw. werkleistungen im bereich von fachverfahren auf basis der steuerplattform - los ,4,58068407.480000004,2.5,69.21
GLOBAL_CORE_V4,United Kingdom,United Kingdom,Consulting / research / audit,71351200,<n>,3,1297200.0,1.0,68.98
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,<n> authority,3,1199346.0,1.0,68.83
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,small business innovation research phase ii,3,1153954.98,1.0,68.75
GLOBAL_CORE_V4,United Kingdom,United Kingdom,Creative / communications / print,85100000,tier <n> msk service for nhs mse icb,3,1063075.0,1.0,68.6
GLOBAL_CORE_V4,United Kingdom,United Kingdom,Creative / communications / print,85100000,tier <n> dermatology service for nhs mse icb,3,1027687.0,1.0,68.53
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541712,::igf::ot::igf sbir/sttr phase ii r&d,3,997341.2,1.0,68.47
GLOBAL_CORE_V4,United Kingdom,United Kingdom,IT / software / cyber,79980000,information technology solution service,3,844000.0,1.0,68.15
GLOBAL_CORE_V4,United Kingdom,United Kingdom,IT / software / cyber,85100000,brent integrated frailty and complex care (bifcc) service,3,794804.53,1.0,68.04
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,334511,"universal armament interface (uai) is a standardized, configurable, data-driven weapons interface that allows integratio",3,602300.0,1.0,67.5
GLOBAL_CORE_V4,Quebec,Canada - Quebec,IT / software / cyber,NO_CODE,entente globale de services du mcn incluant l'hébergement des infrastructures technologiques dans un centre de traitemen,3,1667137.5,1.0,67.46
USASPENDING_V1,USASPENDING_V1,USA,Web / digital,334517,"this delivery order is issued against the indefinite delivery, indefinite quantity contract <n>b<n>c<n>d<n>.this order s",3,8408290.0,3.0,67.18
GLOBAL_CORE_V4,United Kingdom,United Kingdom,Training / education,80000000,the provision of apprenticeship training to soldiers of the british army though service provider contracts under the arm,3,10234622.78,2.0,67.18
GLOBAL_CORE_V4,Quebec,Canada - Quebec,Consulting / research / audit,85121504,médecin conseil à la direction médicale nationale (dmn),3,253120.0,1.0,65.83
GLOBAL_CORE_V4,United Kingdom,United Kingdom,Consulting / research / audit,79410000,ukri-<n> iuk nzl thriving places service delivery partner –lot <n>,4,940465.0,3.5,64.23
GLOBAL_CORE_V4,Quebec,Canada - Quebec,Consulting / research / audit,77000000,ao<n>-<n> études environnementaux et hydrogéologique pour des études complémentaires - infrastructure secteur est - lot ,3,101752.88,1.0,64.07
GLOBAL_CORE_V4,Germany,Germany,Web / digital,72000000,miniwettbewerb aus rahmenvertrag as<n> los <n> rolle senior projektmanager,4,696111.5,3.5,63.65
